79,1,900784,SKI-TK. SARI BUMI,JL. TEGAL BULED NO.15,SUKABUMI,43186,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
80,1,900785,SKI-TK. DEDI AR,PS.CIBADAK BLOK AB V NO 20 SMI,KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
81,1,900786,SKI-PT. HERO SUPERMARKET,JL. RE. MARTADINATA NO.25 SUKA,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
82,1,900787,SKI-TK. BAROKAH,KOMP. PERTOKOAN GELANGGANG NO.,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
83,1,900788,SKI-TK. MARISSA,PERUM BAROS KENCANA JL. JAMRUD,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,200
84,1,900789,SKI-TK. CIBADAK JAYA,JL. SILIWANGI NO. 36 CICURUG,SUKABUMI,43359,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
85,1,900790,SKI-TC. PURNAMA,PERTOKOAN LABORA BLOK C 1-2-3,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
86,1,900791,SKI-TC MITRA,PS. CIBADAK BLOK A1 NO. 10 CIB,SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
87,1,900792,SKI-TC. PADASUKA,JL. STASIUN BARAT NO.30 GUNUNG,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
88,1,900793,SKI-TK. MILIK,PS. RAHAYU CIPANAS BLOK A NO.,CIANJUR,43253,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
89,1,900794,SKI-AP. MITRA FARMA (RS. CJR),"JL. RUMAH SAKIT NO. 1 CIANJUR,",CIANJUR,43211,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",104
90,1,900795,SKI-TK. MARISSA_GROUP_NA,PERUM BAROS KENCANA JL. JAMRUD,SUKABUMI,43161,SKI-RXPD01,EXP DALAM KOTA SUKABUM,302
91,1,900796,SKI-TK. HERMAN,"JL. SILIWANGI NO.203 CICURUG,",SUKABUMI,43364,SKI-RXLK02,EXP LUAR KOTA SUKABUMI,302
92,1,900797,SKI-TK. SAMSOE,TERMINAL CIBADAK BLOK C NO.16,SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
93,1,900798,SKI-TK. SILIH ASIH,"JL. SILIWANGI NO.203 CICURUG,",SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
94,1,900799,SKI-GUARDIAN GIANT SPM KOSASIH,"JL. RA KOSASIH CIBEUREUM, SUKA",SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,200
95,1,900800,SKI-TK. POPULER,PS. PANGLESERAN BLOK E NO. 3 C,SUKABUMI,43168,SKI-Z1CP01,SUKABUMI KOTA,200
96,1,900801,SKI-TK. DOA IBU LAMA,"JL. CISAAT 4/3 CITARIK, SUKABU",SUKABUMI,43152,SKI-RXPD01,EXP DALAM KOTA SUKABUM,302
97,1,900802,SKI-TK. DAMEY,JL. GUDANG SAGARANTEN 23,SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
98,1,900803,SKI-TK. SUMBER PASIR,JL. KARANG ANYAR 28 TEGAL BULE,SUKABUMI,43186,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
99,1,900804,SKI-TK. HENI,JL. KARANG ANYAR 14 TEGAL BULE,SUKABUMI,43186,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
100,1,900819,SKI-TK. GUNAJAYA,"JL. BAROS SAGARANTEN NO.13, SU",SUKABUMI,43161,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
101,1,900824,SKI-TK. PURNAMA JAYA,JL. CIRACAP PS BARAGA RT.49/07,SUKABUMI,43176,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
102,1,900832,SKI-TK. POJOK JAYA,"JL. GUDANG SAGARANTEN RT.5/5,",SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
103,1,900836,SKI-MM. SALAM LESTARI,JL. KH ABDULLAH RANCAGOONG CIA,CIANJUR,43285,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
104,1,900839,SKI-TK. HERMAN,"JL. SILIWANGI NO.203 CICURUG,",SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
105,1,900840,SKI-TK. BERKAH,JL. SURYAKENCANA NO.2 CIBADAK,KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
106,1,900841,SKI-TK. LALIH,"JL. GUDANG SAGARANTEN 24,SUKAB",KAB. SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
107,1,900842,SKI-TK. SILIH ASIH_GROUP_NA,"JL. SILIWANGI NO.203 CICURUG,",SUKABUMI,43364,SKI-RXLK02,EXP LUAR KOTA SUKABUMI,302
