2510,1,1012790,SKI-WR.IBU WAWAT,JL. PELDA SURYANTA NO. 28,SUKABUMI,43145,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2511,1,1012791,SKI-TK.RIFKY CELL,JL. PELDA SURYANTA NO. 71,SUKABUMI,43145,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2512,1,1012792,SKI-WR.H TINI,JL. PELDA SURYANTA NO. 70,SUKABUMI,43145,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2513,1,1012793,SKI-TK.NASUTION 2,JL. PELDA SURYANTA NO. 118,SUKABUMI,43145,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2514,1,1012794,SKI-TK.ZAKI,JL. LIMUSNUNGGAL NO. 15,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2515,1,1012795,SKI-TK.HM,JL. LIMUSNUNGGAL NO. 31,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2516,1,1012796,SKI-WR.IBU DEUIS,JL. LIMUSNUNGGAL NO. 58,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2517,1,1012797,SKI-TK.UJANG,JL. LIMUSNUNGGAL NO. 64,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2518,1,1012798,SKI-WR.BUBUR,JL. LIMUSNUNGGAL NO.209,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2519,1,1012799,SKI-WR.WULAN,JL. LIMUSNUNGGAL NO. 78,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2520,1,1012800,SKI-WR.AULIA,JL. LIMUSNUNGGAL NO.85,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2521,1,1012801,SKI-WR.MINI,JL. LIMUSNUNGGAL NO.92,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2522,1,1012802,SKI-WR.ABANG TARI,JL. LIMUSNUNGGAL NO. 28,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2523,1,1012803,SKI-WR.IBU DIDOH,JL. LIMUSNUNGGAL NO. 31,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2524,1,1012804,SKI-WR.YOGI,JL. LIMUSNUNGGAL NO. 48,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2525,1,1012805,SKI-WR.HAPPY,JL. LIMUSNUNGGAL NO. 84,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2526,1,1012806,SKI-TEH UUN,JL. LIMUSNUNGGAL NO.78,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2527,1,1012871,SKI-TK.ALDI,JL. KP. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2528,1,1012872,SKI-TK.KHOLIJAH,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2529,1,1012874,SKI-WR.IBU AI,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2530,1,1012876,SKI-TK.FANTES,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2531,1,1012878,SKI-TK.PAK AEP,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2532,1,1012879,SKI-WR.HJ NYAI,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2533,1,1012881,SKI-TK.HJ NUR,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2534,1,1012882,SKI-WR.PAK DEDE,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2535,1,1012883,SKI-TK.DEFA BP AAT,JL. LEBAK MUNCANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2536,1,1012885,SKI-WR.IBU DIHAH,JL. LEGOK NUJENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2537,1,1012886,SKI-TK.IHIN,JL. KP. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2538,1,1012895,SKI-KIOS BAROKAH,JL. BAROS NO. 86,SUKABUMI,43166,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2539,1,1012898,SKI-TK.NF,JL. BAROS NO. 105,SUKABUMI,43166,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2540,1,1012899,SKI-TK.MANG RIAN,JL. BAROS NO. 42,SUKABUMI,43166,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2541,1,1012901,SKI-WR.BU NUR,JL. BAROS NO. 20,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2542,1,1012902,SKI-TK.PENTI,JL. GARUDA NO.39,SUKABUMI,43162,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2543,1,1012909,SKI-WR.BU NELI,JL. CIGUNUNG NO. 21,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2544,1,1012910,SKI-TK.ASRI MART,JL. CIJAMBE NO. 80,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2545,1,1012911,SKI-TK.NETI,JL. CIJAMBE NO. 17,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2546,1,1012932,SKI-WR.UMI OOH,JL. KP. KAUM KIDUL,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2547,1,1012934,SKI-WR.PK UJANG,JL. KAUM KIDUL,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2548,1,1012935,SKI-WR.JAIL,JL. KAUM KIDUL,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2549,1,1012936,SKI-WR.RIDHO,JL. KAUM KIDUL,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2550,1,1012937,SKI-WR.WANDI,JL. SELAAWI,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2551,1,1012938,SKI-WR.MIMIN,JL. KP. BABAKAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2552,1,1012939,SKI-WR.BU ADE,JL. KP. NAGRAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2553,1,1012940,SKI-TK.IRMA,JL. KP. BABAKAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",ZZZ
2554,1,1013070,SKI-TK.AMU,JL. CIRENGED,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2555,1,1013071,SKI-WR.YOPI,JL. TALAGA,SUKABUMI,43154,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2556,1,1013072,SKI-TK.BAROKAH,JL. TALAGA,SUKABUMI,43154,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2557,1,1013073,SKI-TK.ABANG,JL. CIRENGED,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2558,1,1013074,SKI-TK.HJ DAYAT,JL. CIRENGED,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2559,1,1013075,SKI-TK.SIMPANGAN,JL. CIMAHI,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2560,1,1013076,SKI-WR.TANIA,JL. PASIR MULUS RAYA NO.05,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2561,1,1013079,SKI-TK.BU NETI,JL. PASIR MULUS NO. 59,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2562,1,1013082,SKI-WR.SANTOSA,JL. PASIR SENTOSA NO. 44,SUKABUMI,43145,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2563,1,1013083,SKI-TK.RIZKY,JL. DIDI SUKARDI NO. 44,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2564,1,1013085,SKI-TK.BERKAH,JL. DIDI SUKARDI NO.178,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2565,1,1013087,SKI-TK.DH,JL. DIDI SUKARDI NO. 182,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2566,1,1013089,SKI-TK.HAIKAL,JL. DIDI SUKARDI NO. 201,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2567,1,1013092,SKI-TK.TATANG,JL. SUDAJAYA NO. 56,SUKABUMI,43166,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2568,1,1013094,SKI-TK.MARDIAH,JL. SUDAJAYA NO. 70,SUKABUMI,43166,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2569,1,1013218,SKI-TK.88,JL. PEMUDA NO 03,SUKABUMI,43141,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2570,1,1013219,SKI-WR.BERKAH,JL. PEMUDA 2 NO. 67,SUKABUMI,43141,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2571,1,1013220,SKI-TK.FAHRI,JL. PEMUDA NO. 180,SUKABUMI,43143,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2572,1,1013221,SKI-TK.MEGAN,JL. PABUARAN NO. 142,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2573,1,1013222,SKI-WR.MITRA SEHAT,JL. PABUARAN NO. 123,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2574,1,1013224,SKI-WR.PAK ENAG,JL. GUNUNG GURUH,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2575,1,1013225,SKI-WR.IBU AI,JL. LEBAK MUNCANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2576,1,1013229,SKI-WR.HJ AI,JL. LEBAK MUNCANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2577,1,1013230,SKI-WR.TEH EUIS,JL. LEGOK NYENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2578,1,1013231,SKI-WR.IBU NUR,JL. LEGOK NYENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2579,1,1013232,SKI-WR.IBU NENENG,JL. LEGOK NYENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2580,1,1013233,SKI-WR.BU AISAH,JL. LEGOK NYENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2581,1,1013234,SKI-WR.IBU MISS,JL. LEGOK NYENANG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2582,1,1013235,SKI-WR.PAK DADUN,JL. PASIR BADAK,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2583,1,1013236,SKI-TK.HAMDI PUTRA,JL. PASIR BADAK,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2584,1,1013237,SKI-WR.PAK PARDI,JL. SASAGAREN,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2585,1,1013238,SKI-WR.RONI,JL. MANGKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2586,1,1013239,SKI-TK.AMY,JL. PELABUHAN 2 NO.244,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2587,1,1013241,SKI-WR.ARI,JL. PRAMUKA NO. 05,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2588,1,1013242,SKI-TK.RINA JAYA,JL. PRAMUKA NO. 06,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2589,1,1013243,SKI-WR.PAK RAHMAT,JL. PRAMUKA NO. 38,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2590,1,1013244,SKI-TK.H. IYUS,JL. LIO SANTA NO.18,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2591,1,1013245,SKI-WR.MA RIA,JL. LIO SANTA NO. 02,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2592,1,1013246,SKI-TK.IMAN JAYA,JL. LIO SANTA NO. 15,SUKABUMI,43142,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2593,1,1013248,SKI-WR.BU CICIN,JL. LAMPING NO.17,SUKABUMI,43144,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2594,1,1013249,SKI-WR.JUWADI,JL. LIO NO. 31,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2595,1,1013253,SKI-WR.PAK EBENG,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2596,1,1013254,SKI-WR.PAK ENDIN,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2597,1,1013255,SKI-WR.BU MIMIN,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2598,1,1013256,SKI-WR.PAK OJO,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2599,1,1013257,SKI-WR.KANG AYI,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2600,1,1013258,SKI-WR.BU SITI,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2601,1,1013259,SKI-WR.BU JEJE,JL. CIPICUNG,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2602,1,1013260,SKI-WR.ARDI,JL. MANGKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2603,1,1013261,SKI-WR.HJ DUDU,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2604,1,1013262,SKI-TK.LUNA,JL. MANGKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2605,1,1013264,SKI-WR.BU OMAH,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2606,1,1013265,SKI-TK.BELA,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2607,1,1013266,SKI-WR.BU YAYAH,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2608,1,1013267,SKI-WR.BU NYAI,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2609,1,1013268,SKI-WR.UNI,JL. MANGAKALAYA,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,ZZZ
2610,1,1013382,SKI-TK. HENDRA,JL. PELABUHAN 2 NO.34 DAYEUH L,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2611,1,1013450,SKI-TK. IBU IROH,JL. PELABUHAN 2 NO.456 RT.03 R,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2612,1,1013451,SKI-TK. DADENG,JL. PEL 2 NO.499 RT.01 RW.02 S,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2613,1,1013453,SKI-WR. ISNEN,SINDANG SARI NO.18 RT.03 RW.03,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2614,1,1013454,SKI-TK. IBU IDAH,SINDANGSARI NO.8 RT.03 RW.03 L,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2615,1,1013456,SKI-WR. ANNISA,JL. SINDANGSARI NO.18 RT.01 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2616,1,1013459,SKI-TK. SALWA,JL. SINDANGSARI NO.24 RT.01 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2617,1,1013460,SKI-WR. BP. ADE,JL. SINDANGSARI NO.27 RT.02 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2618,1,1013462,SKI-WR. ROBI,JL. SINDANGSARI NO.35 RT.01 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2619,1,1013463,SKI-WR. RISA JAYA,JL. SINDANGSARI NO.47 RT.02 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2620,1,1013464,SKI-WR. H. ENDANG,JL. SINDANGSARI NO.51 RT.01 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2621,1,1013465,SKI-TK. ANUGERAH,JL. SINDANGSARI NO. 49 RT.03 R,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2622,1,1013466,SKI-WR. SINAR SURYA,JL. SINDANGSARI NO.77 RT.01 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2623,1,1013467,SKI-TK. TANJUNG,JL. WIDYAKRAMA NO.9 RT.03 RW.0,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2624,1,1013468,SKI-TK. AWAM,JL. WIDYA KRAMA NO.17 RT.01 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2625,1,1013469,SKI-WR. BU NANI,JL. WIDYA KRAMA NO.34 RT.01 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2626,1,1013470,SKI-WR. PENA,JL. WIDYA KRAMA NO.38 RT.01 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2627,1,1013472,SKI-WR. BANG PANE,JL. WIDYA KRAMA NO.52 RT.01 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2628,1,1013474,SKI-TK. RINI,JL. WIDYA KRAMA NO.34 RT.04 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2629,1,1013488,SKI-TK. RINI,JL. WIDYA KRAMA NO.34 RT.04 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2630,1,1013490,SKI-WR. PA UJANG,JL. WIDYA KRAMA NO.56 RT.02 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2631,1,1013506,SKI-WR. TATI,JL. WIDYA KRAMA NO.78 RT.04 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2632,1,1013507,SKI-WR. TEH SITI,JL. WIDYA KRAMA NO.81 RT.04 RW,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,0
2633,1,1013509,SKI-WR. BU MERRI,JL. SINDANGSARI NO.28 RT.02 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2634,1,1013510,SKI-TK. NENDEN,JL. SINDANGSARI NO.87 RT.02 RW,SUKABUMI,43167,SKI-Z1CP01,SUKABUMI KOTA,0
2635,1,1013520,SKI-WR. BU JIMMY,PERUM BBD BLOK A4 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2636,1,1013547,SKI-TK. GO,PADURENAN RT.23 RW.09 BABAKAN,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,0
2637,1,1013548,SKI-WR. BU NUR,PERUM BBD BLOK B21 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2638,1,1013551,SKI-WR. BU DEDEN,PERUM BBD NLOK B 3 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2639,1,1013553,SKI-WR. RANI,PERUM BBD BLOK B7 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2640,1,1013556,SKI-WR. MIMIH,PERUM BBD BLOK B4 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2641,1,1013559,SKI-TK. RIZKY,PERUM BBD BLOK B1 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2642,1,1013562,SKI-TK. IBU WARNO,PERUM BBD BLOK A 5 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2643,1,1013564,SKI-TK. RIZKI,PADURENAN RT.23 RW.09 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2644,1,1013566,SKI-WR. WENI,CIBENCOY RT.29 RW.08 CISAAT,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2645,1,1013568,SKI-TK. ELSA,JL. CIBATU RT.21 RW.06 CISAAT,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,0
2646,1,1013569,SKI-WR. ABIL,JL. CIBENCOY RT.29 RW.08 CISAA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,0
2647,1,1013571,SKI-TK. SARPAWI 2,JL. CIBENCOY RT.29 RW.08 CISAA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,0
2648,1,1013573,SKI-TK. AMIAJAT,JL. CIBENCOY RT.29 RW.08 CISAA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,0
2649,1,1013614,SKI-TK. BUMI JAYA,JL. CEMERLANG NO.81 RT.01 RW.1,SUKABUMI,43135,SKI-Z1CP01,SUKABUMI KOTA,0
2650,1,1013615,SKI-TK. LUBIS,JL. CEMERLANG NO.89 RT.01 RW.1,SUKABUMI,43135,SKI-Z1CP01,SUKABUMI KOTA,0
2651,1,1013616,SKI-TK. MAY,JL. CEMERLANG NO.57 RT.02 RW.1,SUKABUMI,43135,SKI-Z1CP01,SUKABUMI KOTA,0
2652,1,1013617,SKI-TK. INDRA BAROKAH,JL. CEMERLANG NO.169 RT.02 RW.,SUKABUMI,43135,SKI-Z1CP01,SUKABUMI KOTA,0
2653,1,1013618,SKI-WR. BU YANTI,JL. SEJAHTERA NO.182 RT.20 RW.,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2654,1,1013619,SKI-TK. BERKAH,JL. SEJAHTERA NO.189 RT.20 RW.,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2655,1,1013620,SKI-TK. UJANG,JL. SEJAHTERA NO.251 RT.02 RW.,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2656,1,1013621,SKI-TK. ZAHRA,JL. SEJAHTERA NO.57 RT.04 RW.2,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2657,1,1013622,SKI-WR. ISTIQOMAH,JL. SEJAHTERA NO.80 RT.04 RW.2,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2658,1,1013623,SKI-WR. BABANG,JL. SEJAHTERA NO.67 RT.01 RW.2,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,0
2659,1,1013624,SKI-TK. TAZQIA,JL. SEJAHTERA NO.01 RT.01 RW.0,SUKABUMI,43168,SKI-Z1CP01,SUKABUMI KOTA,0
2660,1,1013625,SKI-WR. PONDOK MADANI,JL. MERDEKA NO.53 RT.04 RW.04,SUKABUMI,43168,SKI-Z1CP01,SUKABUMI KOTA,0
2661,1,1013626,SKI-TK. RIZKI,JL. MERDEKA NO.19 RT.04 RW.04,SUKABUMI,43168,SKI-Z1CP01,SUKABUMI KOTA,0
2662,1,1013627,SKI-TK. PAK HAJI,JL. MERDEKA NO.106 RT.01 RW.07,SUKABUMI,43168,SKI-Z1CP01,SUKABUMI KOTA,0
2663,1,1013628,SKI-WR. TEH YANI,BOJONG DUREN RT.14 RW.06 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2664,1,1013629,SKI-WR. IBU ILLAH,LIMUSNUNGGAL RT.18 RW.08,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2665,1,1013630,SKI-WR. IBU TUTI,LIMUS NUNGGAL RT.18 RW.08 GN.G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2666,1,1013631,SKI-WR. ALIFAH,LIMUSNUNGGAL RT.18 RW.08 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2667,1,1013632,SKI-WR. H. ASEP,LIMUSNUNGGAL RT.21 RW.10 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2668,1,1013633,SKI-WR. AGUS,JL. CIPENDEY RT.06 RW.05 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2669,1,1013634,SKI-WR. FADILLAH,JL. PABUARAN RT.01 RW.03 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2670,1,1013636,SKI-TK. PUTRI,JL. PABUARAN RT.05 RW.01 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2671,1,1013637,SKI-WR. PAK JAJANG,JL. CIPENDEY RT.03 RW.05 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2672,1,1013639,SKI-WR. IBU WATI,JL. MANGKALAYA RT.02 RW.04 GN.,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2673,1,1013640,SKI-WR. PAK RAHMAT,JL. MANGKALAYA RT.01 RW.04 GN.,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2674,1,1013641,SKI-WR. BU CICIH,JL. MANGKALAYA RT.01 RW.04 GN.,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2675,1,1013642,SKI-TK. ARA/AZRA,MANGKALAYA RT.01 RW.06 GN. GUR,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2676,1,1013644,SKI-TK. LIBRA,JL. MANGKALAYA RT.05 RW.03 GN.,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2677,1,1013645,SKI-WR. NYI BUDIAH,BOJONG NERAS RT.05 RW.03 GN. G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2678,1,1013646,SKI-WR. MAMAH IDLAN,MANGKALAYA RT.02 RW.06 GN. GUR,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2679,1,1013647,SKI-TK. ECHA,JL. MANGKALAYA RT.04 RW.06 GN.,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2680,1,1013648,SKI-TK. DACIL,PERUM GPP MANGKALAYA BLOK F2 G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2681,1,1013649,SKI-WR. NEREK,PERUM GPP MANGKALAYA BLOK J1 G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2682,1,1013650,SKI-WR. AGUS,PERUM GPP MANGKALAYA BLOK G8 G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
2683,1,1013651,SKI-WR. NIRA,PERUM GPP MANGKALAYA BLOK D1 G,SUKABUMI,43156,SKI-Z1CP01,SUKABUMI KOTA,0
